ABI1,ABL1,ACBD6,ACLY,ACP1,ACTA1,ACTR10,ADA,ADAM9,AHCY,AKT1,ANXA11,ANXA2,ARHGDIB,ARHGEF2
ARHGEF6,ARHGEF7,ATF2,ATP1A1,ATP1A3,BCL10,BDH1,BMF,BRAF,CABIN1,CALM1,CARD11,CASKIN2,CBL,CBLB
CCT8,CD2,CD247,CD28,CD2AP,CD3D,CD3E,CD3G,CD4,CD5,CD7,CD80,CD82,CD84,CD86
CD8A,CDC42,CDK1,CEBPB,CGN,CHUK,CISH,CLTC,CREB1,CREBBP,CRK,CRKL,CSK,CTLA4,CTNNB1
CYFIP1,DAPK1,DBNL,DDX3X,DDX49,DEF6,DGKA,DIAPH1,DLG1,DNAJB1,DNM2,DOCK2,DOK1,DOK2,DPYSL2
DTX1,DUSP3,DYRK1A,DYRK1B,EGR1,EIF3M,ELMO1,ELP3,ENAH,ENO2,EPHA3,EPRS,EVL,FCGR3A,FCRL3
FER,FLNB,FOS,FYB,FYN,G6PD,GAB2,GDI2,GIT2,GOLGA5,GRAP,GRAP2,GRB2,GSK3B,HGS
HNRNPH3,HOMER3,HRAS,HSP90AB1,ICOS,ICOSLG,IKBKB,INPP5D,ITCH,ITK,ITPR1,ITSN2,JAK3,JUN,KHDRBS1
KIRREL,KRAS,LAT,LAX1,LCK,LCP2,LDHA,LDHB,LIME1,LNPEP,LPXN,LY9,LYN,MALT1,MAP2K1
MAP2K2,MAP2K7,MAP3K1,MAP3K14,MAP3K7,MAP3K8,MAP4K1,MAPK1,MAPK11,MAPK14,MAPK3,MAPK7,MAPK8,MAPK9,MARCKS
MPZL1,MSL2,MTMR10,MUC1,NCK1,NCL,NEDD9,NFAM1,NFATC1,NFATC2,NFKB1,NFKBIA,NFKBIB,NR4A1,NRAS
OGN,PAG1,PAK1,PARD3,PDCD1,PDPK1,PECAM1,PGAM1,PGM1,PHLDB3,PI4KA,PIK3AP1,PIK3C2B,PIK3R1,PIK3R2
PKP4,PLCG1,PLCG2,PPP3CB,PRKCD,PRKCQ,PRKD1,PRKD2,PRPF4B,PSTPIP1,PTK2,PTK2B,PTPN11,PTPN12,PTPN22
PTPN3,PTPN6,PTPN7,PTPRA,PTPRC,PTPRH,PTPRJ,PTTG1IP,PXN,RAC2,RAF1,RAN,RAP1A,RAPGEF1,RASA1
RASGRP1,RASGRP2,REL,RELA,RIPK2,RPS6KA5,RPS6KB1,SDCBP,SH2B3,SH2D2A,SH2D3C,SH3BP2,SHB,SHC1,SIT1
SKAP1,SKAP2,SLA,SLA2,SLAMF6,SNRNP70,SOS1,SOS2,SRC,STAM2,STAT1,STAT4,STAT5A,STAT5B,STK39
STK4,SYK,TEC,TFRC,TRA,TRAF6,TRAT1,TRB,TRIM25,TSG101,TUBA1A,TUBB,TXK,TXNRD1,UBASH3B
UNC119,VASP,VAV1,VAV2,VAV3,WAS,WASF2,WDR1,WIPF1,YWHAQ,YWHAZ,ZAP70,ZDHHC17,ZNF404,
