,,,,,,,,,,,,,
,,,,,,,,Home,Browse,FAQs,Immune Signaling Pathways,Cancer Signaling Pathways,Publications
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TCR Signaling Pathway, Accession number : NetPath_11,,,,,,,,,,,
,"The T cell receptor complex includes the ligand binding TCR alpha and TCR beta chains, along with CD3 gamma, delta, epsilon and zeta subunits. This receptor complex is stimulated by antigen peptides presented by the Major Histocompatibility Complex proteins present on T cells and antigen presenting cells. Stimulation of the T cell receptor leads to the activation of NFkB and NFAT signaling modules which play a key role in T cell receptor signaling.",  Transcriptional Gene Regulation Statistics,,,,,,,,,,,
,, Upregulated genes,  449,,,,,,,,,,
,Please cite the following reference for this pathway:, Downregulated genes,  178,,,,,,,,,,
,,,,,,,,,,,,,
,"Kandasamy, K. and Mohan, SS. et al.(2010) NetPath: A public resource of curated signal transduction pathways. Genome Biology. 11:R3.[PubMed]",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,  Transcriptionally regulated genes by TCR pathway (Total = 627),,,,,,,,,,,,
,  Transcriptionally Upregulated Genes,,,,,,,,,,,,
,Gene Symbol,Experiment type,,Experiment system,PubMed,Transcription regulators,Regulator type,,,,,,
,NFKBIA,Non-Microarray; Microarray,,,,,,,,,,,
,TNF,Non-Microarray; Microarray,,,,"NFATC2, CREBBP,CREBZF",Transcription factor,,,,,,
,IL2RA,Non-Microarray; Microarray,,,,"NFAT,NFKB1",Transcription factor,,,,,,
,CASP3,Non-Microarray; Microarray,,,,NFATC2,Transcription factor,,,,,,
,LCK,Non-Microarray,,,,,,,,,,,
,PSTPIP1,Non-Microarray,,,,,,,,,,,
,LTA,Non-Microarray,,,,,,,,,,,
,IL21R,Non-Microarray,,,,,,,,,,,
,IL17,Non-Microarray,,,,NFATC1,Transcription factor,,,,,,
,PTK2B,Non-Microarray,,,,,,,,,,,
,KLRD1,Non-Microarray,,,,,,,,,,,
,KLRC3,Non-Microarray,,,,,,,,,,,
,KLRC2,Non-Microarray,,,,,,,,,,,
,IL5,Non-Microarray,,,,"CTCF,NFAT","Transcription Enhancer, Transcription factor",,,,,,
,KLRC1,Non-Microarray,,,,,,,,,,,
,IL4,Non-Microarray,,,,CTCF,Transcription Enhancer,,,,,,
,IL27RA,Non-Microarray,,,,,,,,,,,
,IL13,Non-Microarray,,,,CTCF,Transcription Enhancer,,,,,,
,IL10,Non-Microarray,,,,,,,,,,,
